timestamp,signal_x,signal_y,signal_z
0.0,1.032,-0.008,0.167
1.0,1.048,-0.008,0.164
2.0,1.043,-0.014,0.164
3.0,1.032,-0.010,0.170
4.0,1.038,-0.015,0.170
5.0,1.044,-0.017,0.173
6.0,1.039,-0.011,0.177
7.0,1.036,-0.012,0.180
8.0,1.034,-0.016,0.169
9.0,1.042,-0.007,0.164
10.0,1.043,-0.008,0.174
11.0,1.042,-0.008,0.176
12.0,1.042,-0.008,0.168
13.0,1.040,-0.010,0.172
14.0,1.038,-0.006,0.175
15.0,1.045,-0.006,0.182
16.0,1.044,-0.009,0.183
17.0,1.038,-0.008,0.175
18.0,1.042,-0.011,0.174
19.0,1.042,-0.013,0.175
20.0,1.043,-0.007,0.179
21.0,1.044,-0.010,0.181
22.0,1.043,-0.014,0.183
23.0,1.044,-0.010,0.174
24.0,1.041,-0.012,0.174
25.0,1.037,-0.009,0.182
26.0,1.043,-0.011,0.171
27.0,1.043,-0.014,0.169
28.0,1.040,-0.013,0.167
29.0,1.035,-0.010,0.171
30.0,1.035,-0.005,0.175
31.0,1.038,-0.006,0.176
32.0,1.042,-0.010,0.169
33.0,1.034,-0.011,0.176
34.0,1.038,-0.010,0.180
35.0,1.047,-0.008,0.178
36.0,1.043,-0.009,0.173
37.0,1.035,-0.012,0.177
38.0,1.033,-0.014,0.178
39.0,1.040,-0.011,0.179
40.0,1.045,-0.012,0.176
41.0,1.048,-0.014,0.175
42.0,1.040,-0.015,0.181
43.0,1.045,-0.013,0.181
44.0,1.044,-0.017,0.164
45.0,1.036,-0.011,0.168
46.0,1.037,-0.011,0.164
47.0,1.044,-0.018,0.170
48.0,1.039,-0.008,0.173
49.0,1.043,-0.009,0.173
50.0,1.044,-0.010,0.170
51.0,1.041,-0.008,0.178
52.0,1.042,-0.010,0.171
53.0,1.040,-0.011,0.168
54.0,1.041,-0.007,0.180
55.0,1.045,-0.009,0.171
56.0,1.048,-0.006,0.174
57.0,1.040,-0.005,0.170
58.0,1.029,-0.007,0.181
59.0,1.040,-0.011,0.179
60.0,1.047,-0.009,0.173
61.0,1.040,-0.018,0.175
62.0,1.044,-0.015,0.169
63.0,1.043,-0.013,0.168
64.0,1.042,-0.014,0.172
65.0,1.037,-0.012,0.169
66.0,1.041,-0.015,0.165
67.0,1.043,-0.018,0.174
68.0,1.042,-0.015,0.174
69.0,1.041,-0.015,0.175
70.0,1.052,-0.014,0.167
71.0,1.047,-0.008,0.164
72.0,1.036,-0.008,0.174
73.0,1.039,-0.010,0.182
74.0,1.042,-0.008,0.174
75.0,1.036,-0.009,0.177
76.0,1.040,-0.008,0.176
77.0,1.041,-0.010,0.168
78.0,1.040,-0.010,0.176
79.0,1.041,-0.009,0.177
80.0,1.042,-0.009,0.172
81.0,1.045,-0.010,0.175
82.0,1.043,-0.009,0.166
83.0,1.039,-0.012,0.165
84.0,1.047,-0.010,0.164
85.0,1.044,-0.008,0.175
86.0,1.041,-0.010,0.179
87.0,1.043,-0.008,0.174
88.0,1.045,-0.010,0.168
89.0,1.039,-0.018,0.166
90.0,1.040,-0.015,0.168
91.0,1.042,-0.016,0.167
92.0,1.038,-0.013,0.170
93.0,1.036,-0.011,0.182
94.0,1.039,-0.009,0.172
95.0,1.036,-0.010,0.184
96.0,1.042,-0.003,0.186
97.0,1.046,-0.008,0.180
98.0,1.037,-0.014,0.177
99.0,1.039,-0.011,0.174
100.0,1.039,-0.010,0.175
101.0,1.036,-0.011,0.172
102.0,1.043,-0.009,0.164
103.0,1.040,-0.010,0.171
104.0,1.043,-0.007,0.170
105.0,1.041,-0.013,0.168
106.0,1.037,-0.010,0.173
107.0,1.041,-0.010,0.169
108.0,1.043,-0.014,0.178
109.0,1.036,-0.014,0.180
110.0,1.042,-0.011,0.174
111.0,1.040,-0.009,0.179
112.0,1.041,-0.013,0.177
113.0,1.043,-0.009,0.181
114.0,1.040,-0.012,0.176
115.0,1.034,-0.004,0.176
116.0,1.037,-0.008,0.177
117.0,1.040,-0.014,0.177
